Company Name,Date,Close Price
Microsoft (MSFT),2018-01-31,87.38
Microsoft (MSFT),2018-02-28,86.65
Microsoft (MSFT),2018-03-31,84.34
Microsoft (MSFT),2018-04-30,86.42
Microsoft (MSFT),2018-05-31,91.73
Microsoft (MSFT),2018-06-30,91.52
Microsoft (MSFT),2018-07-31,98.45
Microsoft (MSFT),2018-08-31,104.65
Microsoft (MSFT),2018-09-30,106.55
Microsoft (MSFT),2018-10-31,99.51
Microsoft (MSFT),2018-11-30,103.75
Microsoft (MSFT),2018-12-31,95.03
Microsoft (MSFT),2019-01-31,97.71
Microsoft (MSFT),2019-02-28,105.27
Microsoft (MSFT),2019-03-31,110.82
Microsoft (MSFT),2019-04-30,122.72
Microsoft (MSFT),2019-05-31,116.65
Microsoft (MSFT),2019-06-30,126.34
Microsoft (MSFT),2019-07-31,128.52
Microsoft (MSFT),2019-08-31,130.45
Microsoft (MSFT),2019-09-30,131.56
Microsoft (MSFT),2019-10-31,135.67
Microsoft (MSFT),2019-11-30,143.73
Microsoft (MSFT),2019-12-31,149.73
Microsoft (MSFT),2020-01-31,161.63
Microsoft (MSFT),2020-02-29,154.25
Microsoft (MSFT),2020-03-31,150.15
Microsoft (MSFT),2020-04-30,170.62
Microsoft (MSFT),2020-05-31,174.95
Microsoft (MSFT),2020-06-30,194.3
Microsoft (MSFT),2020-07-31,195.73
Microsoft (MSFT),2020-08-31,215.84
Microsoft (MSFT),2020-09-30,201.29
Microsoft (MSFT),2020-10-31,193.77
Microsoft (MSFT),2020-11-30,205.41
Microsoft (MSFT),2020-12-31,213.42
Microsoft (MSFT),2021-01-31,222.57
Microsoft (MSFT),2021-02-28,223.49
Microsoft (MSFT),2021-03-31,226.75
Microsoft (MSFT),2021-04-30,242.53
Microsoft (MSFT),2021-05-31,240.68
Microsoft (MSFT),2021-06-30,261.14
Microsoft (MSFT),2021-07-31,274.64
Microsoft (MSFT),2021-08-31,291.56
Microsoft (MSFT),2021-09-30,272.28
Microsoft (MSFT),2021-10-31,320.28
Microsoft (MSFT),2021-11-30,319.87
Microsoft (MSFT),2021-12-31,325.42
Microsoft (MSFT),2022-01-31,300.9
Microsoft (MSFT),2022-02-28,289.7
Microsoft (MSFT),2022-03-31,298.93
Microsoft (MSFT),2022-04-30,269.08
Microsoft (MSFT),2022-05-31,264.21
Microsoft (MSFT),2022-06-30,249.6
Microsoft (MSFT),2022-07-31,272.83
Microsoft (MSFT),2022-08-31,254.65
Microsoft (MSFT),2022-09-30,226.82
Microsoft (MSFT),2022-10-31,226.07
Microsoft (MSFT),2022-11-30,249.18
Microsoft (MSFT),2022-12-31,234.22
Microsoft (MSFT),2023-01-31,242.02
Microsoft (MSFT),2023-02-28,244.21
Microsoft (MSFT),2023-03-31,282.27
Microsoft (MSFT),2023-04-30,300.84
Microsoft (MSFT),2023-05-31,322.23
Microsoft (MSFT),2023-06-30,334.15
Microsoft (MSFT),2023-07-31,329.62
Microsoft (MSFT),2023-08-31,322.29
Microsoft (MSFT),2023-09-30,310.48
Microsoft (MSFT),2023-10-31,332.47
Microsoft (MSFT),2023-11-30,373.34
Microsoft (MSFT),2023-12-31,370.52
Microsoft (MSFT),2024-01-31,391.74
Microsoft (MSFT),2024-02-29,408.32
Microsoft (MSFT),2024-03-31,415.31
Microsoft (MSFT),2024-04-30,384.32
Microsoft (MSFT),2024-05-31,410.53
Microsoft (MSFT),2024-06-30,441.99
Microsoft (MSFT),2024-07-31,413.71
Microsoft (MSFT),2024-08-31,413.26
Microsoft (MSFT),2024-09-30,426.3
Microsoft (MSFT),2024-10-31,402.57
Microsoft (MSFT),2024-11-30,420.36
Microsoft (MSFT),2024-12-31,421.72
Apple (AAPL),2018-01-31,39.21
Apple (AAPL),2018-02-28,41.88
Apple (AAPL),2018-03-31,39.45
Apple (AAPL),2018-04-30,38.86
Apple (AAPL),2018-05-31,44.11
Apple (AAPL),2018-06-30,43.7
Apple (AAPL),2018-07-31,44.92
Apple (AAPL),2018-08-31,53.92
Apple (AAPL),2018-09-30,53.47
Apple (AAPL),2018-10-31,51.84
Apple (AAPL),2018-11-30,42.45
Apple (AAPL),2018-12-31,37.5
Apple (AAPL),2019-01-31,39.56
Apple (AAPL),2019-02-28,41.34
Apple (AAPL),2019-03-31,45.35
Apple (AAPL),2019-04-30,47.91
Apple (AAPL),2019-05-31,41.95
Apple (AAPL),2019-06-30,47.43
Apple (AAPL),2019-07-31,51.05
Apple (AAPL),2019-08-31,50.21
Apple (AAPL),2019-09-30,53.88
Apple (AAPL),2019-10-31,59.84
Apple (AAPL),2019-11-30,64.48
Apple (AAPL),2019-12-31,70.85
Apple (AAPL),2020-01-31,74.68
Apple (AAPL),2020-02-29,66.11
Apple (AAPL),2020-03-31,61.5
Apple (AAPL),2020-04-30,71.06
Apple (AAPL),2020-05-31,77.1
Apple (AAPL),2020-06-30,88.47
Apple (AAPL),2020-07-31,103.08
Apple (AAPL),2020-08-31,125.4
Apple (AAPL),2020-09-30,112.54
Apple (AAPL),2020-10-31,105.79
Apple (AAPL),2020-11-30,115.89
Apple (AAPL),2020-12-31,129.17
Apple (AAPL),2021-01-31,128.46
Apple (AAPL),2021-02-28,118.22
Apple (AAPL),2021-03-31,119.08
Apple (AAPL),2021-04-30,128.16
Apple (AAPL),2021-05-31,121.69
Apple (AAPL),2021-06-30,133.75
Apple (AAPL),2021-07-31,142.44
Apple (AAPL),2021-08-31,148.49
Apple (AAPL),2021-09-30,138.39
Apple (AAPL),2021-10-31,146.51
Apple (AAPL),2021-11-30,161.9
Apple (AAPL),2021-12-31,173.92
Apple (AAPL),2022-01-31,171.19
Apple (AAPL),2022-02-28,161.93
Apple (AAPL),2022-03-31,171.24
Apple (AAPL),2022-04-30,154.61
Apple (AAPL),2022-05-31,146.18
Apple (AAPL),2022-06-30,134.28
Apple (AAPL),2022-07-31,159.61
Apple (AAPL),2022-08-31,154.63
Apple (AAPL),2022-09-30,135.92
Apple (AAPL),2022-10-31,150.81
Apple (AAPL),2022-11-30,145.83
Apple (AAPL),2022-12-31,128.0
Apple (AAPL),2023-01-31,142.15
Apple (AAPL),2023-02-28,145.44
Apple (AAPL),2023-03-31,162.7
Apple (AAPL),2023-04-30,167.41
Apple (AAPL),2023-05-31,175.12
Apple (AAPL),2023-06-30,191.64
Apple (AAPL),2023-07-31,194.09
Apple (AAPL),2023-08-31,185.87
Apple (AAPL),2023-09-30,169.39
Apple (AAPL),2023-10-31,168.95
Apple (AAPL),2023-11-30,188.17
Apple (AAPL),2023-12-31,190.73
Apple (AAPL),2024-01-31,182.67
Apple (AAPL),2024-02-29,179.29
Apple (AAPL),2024-03-31,170.09
Apple (AAPL),2024-04-30,168.95
Apple (AAPL),2024-05-31,190.95
Apple (AAPL),2024-06-30,209.2
Apple (AAPL),2024-07-31,220.58
Apple (AAPL),2024-08-31,227.72
Apple (AAPL),2024-09-30,231.7
Apple (AAPL),2024-10-31,224.65
Apple (AAPL),2024-11-30,236.26
Apple (AAPL),2024-12-31,251.06
Alphabet/Google (GOOGL),2018-01-31,58.71
Alphabet/Google (GOOGL),2018-02-28,54.82
Alphabet/Google (GOOGL),2018-03-31,51.5
Alphabet/Google (GOOGL),2018-04-30,50.58
Alphabet/Google (GOOGL),2018-05-31,54.62
Alphabet/Google (GOOGL),2018-06-30,56.07
Alphabet/Google (GOOGL),2018-07-31,60.94
Alphabet/Google (GOOGL),2018-08-31,61.17
Alphabet/Google (GOOGL),2018-09-30,59.94
Alphabet/Google (GOOGL),2018-10-31,54.16
Alphabet/Google (GOOGL),2018-11-30,55.1
Alphabet/Google (GOOGL),2018-12-31,51.89
Alphabet/Google (GOOGL),2019-01-31,55.91
Alphabet/Google (GOOGL),2019-02-28,55.94
Alphabet/Google (GOOGL),2019-03-31,58.44
Alphabet/Google (GOOGL),2019-04-30,59.54
Alphabet/Google (GOOGL),2019-05-31,54.95
Alphabet/Google (GOOGL),2019-06-30,53.77
Alphabet/Google (GOOGL),2019-07-31,60.49
Alphabet/Google (GOOGL),2019-08-31,59.12
Alphabet/Google (GOOGL),2019-09-30,60.64
Alphabet/Google (GOOGL),2019-10-31,62.51
Alphabet/Google (GOOGL),2019-11-30,64.76
Alphabet/Google (GOOGL),2019-12-31,66.51
Alphabet/Google (GOOGL),2020-01-31,71.15
Alphabet/Google (GOOGL),2020-02-29,66.5
Alphabet/Google (GOOGL),2020-03-31,57.7
Alphabet/Google (GOOGL),2020-04-30,66.87
Alphabet/Google (GOOGL),2020-05-31,71.19
Alphabet/Google (GOOGL),2020-06-30,70.42
Alphabet/Google (GOOGL),2020-07-31,73.89
Alphabet/Google (GOOGL),2020-08-31,80.92
Alphabet/Google (GOOGL),2020-09-30,72.78
Alphabet/Google (GOOGL),2020-10-31,80.25
Alphabet/Google (GOOGL),2020-11-30,87.12
Alphabet/Google (GOOGL),2020-12-31,87.03
Alphabet/Google (GOOGL),2021-01-31,90.74
Alphabet/Google (GOOGL),2021-02-28,100.4
Alphabet/Google (GOOGL),2021-03-31,102.42
Alphabet/Google (GOOGL),2021-04-30,116.87
Alphabet/Google (GOOGL),2021-05-31,117.04
Alphabet/Google (GOOGL),2021-06-30,121.25
Alphabet/Google (GOOGL),2021-07-31,133.8
Alphabet/Google (GOOGL),2021-08-31,143.71
Alphabet/Google (GOOGL),2021-09-30,132.76
Alphabet/Google (GOOGL),2021-10-31,147.03
Alphabet/Google (GOOGL),2021-11-30,140.93
Alphabet/Google (GOOGL),2021-12-31,143.86
Alphabet/Google (GOOGL),2022-01-31,134.38
Alphabet/Google (GOOGL),2022-02-28,134.13
Alphabet/Google (GOOGL),2022-03-31,138.11
Alphabet/Google (GOOGL),2022-04-30,113.33
Alphabet/Google (GOOGL),2022-05-31,112.98
Alphabet/Google (GOOGL),2022-06-30,108.22
Alphabet/Google (GOOGL),2022-07-31,115.52
Alphabet/Google (GOOGL),2022-08-31,107.48
Alphabet/Google (GOOGL),2022-09-30,94.99
Alphabet/Google (GOOGL),2022-10-31,93.86
Alphabet/Google (GOOGL),2022-11-30,100.3
Alphabet/Google (GOOGL),2022-12-31,87.63
Alphabet/Google (GOOGL),2023-01-31,98.16
Alphabet/Google (GOOGL),2023-02-28,89.44
Alphabet/Google (GOOGL),2023-03-31,103.02
Alphabet/Google (GOOGL),2023-04-30,106.6
Alphabet/Google (GOOGL),2023-05-31,122.03
Alphabet/Google (GOOGL),2023-06-30,118.88
Alphabet/Google (GOOGL),2023-07-31,131.81
Alphabet/Google (GOOGL),2023-08-31,135.24
Alphabet/Google (GOOGL),2023-09-30,129.96
Alphabet/Google (GOOGL),2023-10-31,123.23
Alphabet/Google (GOOGL),2023-11-30,131.62
Alphabet/Google (GOOGL),2023-12-31,138.73
Alphabet/Google (GOOGL),2024-01-31,139.14
Alphabet/Google (GOOGL),2024-02-29,137.51
Alphabet/Google (GOOGL),2024-03-31,149.9
Alphabet/Google (GOOGL),2024-04-30,161.66
Alphabet/Google (GOOGL),2024-05-31,171.32
Alphabet/Google (GOOGL),2024-06-30,181.11
Alphabet/Google (GOOGL),2024-07-31,170.56
Alphabet/Google (GOOGL),2024-08-31,162.45
Alphabet/Google (GOOGL),2024-09-30,165.12
Alphabet/Google (GOOGL),2024-10-31,170.36
Alphabet/Google (GOOGL),2024-11-30,168.21
Alphabet/Google (GOOGL),2024-12-31,190.62
Amazon (AMZN),2018-01-31,72.54
Amazon (AMZN),2018-02-28,75.62
Amazon (AMZN),2018-03-31,72.37
Amazon (AMZN),2018-04-30,78.31
Amazon (AMZN),2018-05-31,81.48
Amazon (AMZN),2018-06-30,84.99
Amazon (AMZN),2018-07-31,88.87
Amazon (AMZN),2018-08-31,100.64
Amazon (AMZN),2018-09-30,100.15
Amazon (AMZN),2018-10-31,79.9
Amazon (AMZN),2018-11-30,84.51
Amazon (AMZN),2018-12-31,75.1
Amazon (AMZN),2019-01-31,85.94
Amazon (AMZN),2019-02-28,81.99
Amazon (AMZN),2019-03-31,89.04
Amazon (AMZN),2019-04-30,96.33
Amazon (AMZN),2019-05-31,88.75
Amazon (AMZN),2019-06-30,94.68
Amazon (AMZN),2019-07-31,93.34
Amazon (AMZN),2019-08-31,88.81
Amazon (AMZN),2019-09-30,86.8
Amazon (AMZN),2019-10-31,88.83
Amazon (AMZN),2019-11-30,90.04
Amazon (AMZN),2019-12-31,92.39
Amazon (AMZN),2020-01-31,100.44
Amazon (AMZN),2020-02-29,94.19
Amazon (AMZN),2020-03-31,97.49
Amazon (AMZN),2020-04-30,123.7
Amazon (AMZN),2020-05-31,122.12
Amazon (AMZN),2020-06-30,137.94
Amazon (AMZN),2020-07-31,158.23
Amazon (AMZN),2020-08-31,172.55
Amazon (AMZN),2020-09-30,157.44
Amazon (AMZN),2020-10-31,151.81
Amazon (AMZN),2020-11-30,158.4
Amazon (AMZN),2020-12-31,162.85
Amazon (AMZN),2021-01-31,160.31
Amazon (AMZN),2021-02-28,154.65
Amazon (AMZN),2021-03-31,154.7
Amazon (AMZN),2021-04-30,173.37
Amazon (AMZN),2021-05-31,161.15
Amazon (AMZN),2021-06-30,172.01
Amazon (AMZN),2021-07-31,166.38
Amazon (AMZN),2021-08-31,173.54
Amazon (AMZN),2021-09-30,164.25
Amazon (AMZN),2021-10-31,168.62
Amazon (AMZN),2021-11-30,175.35
Amazon (AMZN),2021-12-31,166.72
Amazon (AMZN),2022-01-31,149.57
Amazon (AMZN),2022-02-28,153.56
Amazon (AMZN),2022-03-31,163.0
Amazon (AMZN),2022-04-30,124.28
Amazon (AMZN),2022-05-31,120.21
Amazon (AMZN),2022-06-30,106.21
Amazon (AMZN),2022-07-31,134.95
Amazon (AMZN),2022-08-31,126.77
Amazon (AMZN),2022-09-30,113.0
Amazon (AMZN),2022-10-31,102.44
Amazon (AMZN),2022-11-30,96.54
Amazon (AMZN),2022-12-31,84.0
Amazon (AMZN),2023-01-31,103.13
Amazon (AMZN),2023-02-28,94.23
Amazon (AMZN),2023-03-31,103.29
Amazon (AMZN),2023-04-30,105.45
Amazon (AMZN),2023-05-31,120.58
Amazon (AMZN),2023-06-30,130.36
Amazon (AMZN),2023-07-31,133.68
Amazon (AMZN),2023-08-31,138.01
Amazon (AMZN),2023-09-30,127.12
Amazon (AMZN),2023-10-31,133.09
Amazon (AMZN),2023-11-30,146.09
Amazon (AMZN),2023-12-31,151.94
Amazon (AMZN),2024-01-31,155.2
Amazon (AMZN),2024-02-29,176.76
Amazon (AMZN),2024-03-31,180.38
Amazon (AMZN),2024-04-30,175.0
Amazon (AMZN),2024-05-31,176.44
Amazon (AMZN),2024-06-30,193.25
Amazon (AMZN),2024-07-31,186.98
Amazon (AMZN),2024-08-31,178.5
Amazon (AMZN),2024-09-30,186.33
Amazon (AMZN),2024-10-31,186.4
Amazon (AMZN),2024-11-30,207.89
Amazon (AMZN),2024-12-31,221.3
Meta Platforms (META),2018-01-31,185.74
Meta Platforms (META),2018-02-28,177.23
Meta Platforms (META),2018-03-31,158.81
Meta Platforms (META),2018-04-30,170.95
Meta Platforms (META),2018-05-31,190.6
Meta Platforms (META),2018-06-30,193.13
Meta Platforms (META),2018-07-31,171.52
Meta Platforms (META),2018-08-31,174.65
Meta Platforms (META),2018-09-30,163.45
Meta Platforms (META),2018-10-31,150.86
Meta Platforms (META),2018-11-30,139.75
Meta Platforms (META),2018-12-31,130.29
Meta Platforms (META),2019-01-31,165.67
Meta Platforms (META),2019-02-28,160.46
Meta Platforms (META),2019-03-31,165.67
Meta Platforms (META),2019-04-30,192.22
Meta Platforms (META),2019-05-31,176.38
Meta Platforms (META),2019-06-30,191.82
Meta Platforms (META),2019-07-31,193.04
Meta Platforms (META),2019-08-31,184.53
Meta Platforms (META),2019-09-30,176.99
Meta Platforms (META),2019-10-31,190.48
Meta Platforms (META),2019-11-30,200.4
Meta Platforms (META),2019-12-31,203.99
Meta Platforms (META),2020-01-31,200.67
Meta Platforms (META),2020-02-29,191.29
Meta Platforms (META),2020-03-31,165.78
Meta Platforms (META),2020-04-30,203.46
Meta Platforms (META),2020-05-31,223.71
Meta Platforms (META),2020-06-30,225.68
Meta Platforms (META),2020-07-31,252.12
Meta Platforms (META),2020-08-31,291.4
Meta Platforms (META),2020-09-30,260.3
Meta Platforms (META),2020-10-31,261.5
Meta Platforms (META),2020-11-30,275.27
Meta Platforms (META),2020-12-31,271.49
Meta Platforms (META),2021-01-31,256.75
Meta Platforms (META),2021-02-28,256.04
Meta Platforms (META),2021-03-31,292.73
Meta Platforms (META),2021-04-30,323.09
Meta Platforms (META),2021-05-31,326.72
Meta Platforms (META),2021-06-30,345.58
Meta Platforms (META),2021-07-31,354.12
Meta Platforms (META),2021-08-31,377.06
Meta Platforms (META),2021-09-30,337.31
Meta Platforms (META),2021-10-31,321.59
Meta Platforms (META),2021-11-30,322.47
Meta Platforms (META),2021-12-31,334.29
Meta Platforms (META),2022-01-31,311.34
Meta Platforms (META),2022-02-28,209.74
Meta Platforms (META),2022-03-31,221.0
Meta Platforms (META),2022-04-30,199.24
Meta Platforms (META),2022-05-31,192.45
Meta Platforms (META),2022-06-30,160.26
Meta Platforms (META),2022-07-31,158.13
Meta Platforms (META),2022-08-31,161.93
Meta Platforms (META),2022-09-30,134.85
Meta Platforms (META),2022-10-31,92.59
Meta Platforms (META),2022-11-30,117.38
Meta Platforms (META),2022-12-31,119.6
Meta Platforms (META),2023-01-31,148.06
Meta Platforms (META),2023-02-28,173.87
Meta Platforms (META),2023-03-31,210.64
Meta Platforms (META),2023-04-30,238.85
Meta Platforms (META),2023-05-31,263.1
Meta Platforms (META),2023-06-30,285.22
Meta Platforms (META),2023-07-31,316.65
Meta Platforms (META),2023-08-31,294.08
Meta Platforms (META),2023-09-30,298.37
Meta Platforms (META),2023-10-31,299.42
Meta Platforms (META),2023-11-30,325.15
Meta Platforms (META),2023-12-31,351.79
Meta Platforms (META),2024-01-31,387.75
Meta Platforms (META),2024-02-29,487.64
