Company,n_obs,alpha_ols,beta_qqq,se_beta_hc1_qqq,p_beta_hc1_qqq,se_beta_hac_qqq,p_beta_hac_qqq,R2,DW,bp_stat,bp_p,maxlags_hac
ASML,82,-0.0018447906911380645,1.2708375924874,0.09628426885390373,8.804255344891429e-22,0.11627157507505141,1.5345790495741242e-17,0.589798253669901,1.626416149669009,0.32354366105115173,0.5694857766700201,3
Accenture,82,-0.003368662204027798,0.9917497456933123,0.07008044676693612,1.7402750206932715e-23,0.06719025399888824,1.5056637080685414e-24,0.6435246469581739,1.787029695391296,0.6016744159956,0.43793987275275137,3
Adobe,82,-0.007850010402890541,1.1936816828297314,0.12067971575453658,1.5745705601869927e-15,0.114366560954264,1.3665874591092965e-16,0.5383270740460477,1.9602823982889803,0.25537011062003057,0.6133189445553429,3
Alphabet,82,0.001961012838743746,0.9250841408722791,0.08222820914564352,3.743474477315666e-18,0.07733649418665894,1.687961525728961e-19,0.5619945137721968,2.2536948593535695,0.3490372982169838,0.5546585987081847,3
Amazon,82,-0.004816045660559449,1.2516913124394171,0.11354978586562735,1.0161446714252801e-17,0.10369595471426213,1.0550068651814064e-19,0.6689815042782468,1.9976758298394222,0.1797729447405383,0.6715684408732199,3
Apple,82,0.0050545920626583335,1.1729771616664877,0.08466350155026284,5.84232816182757e-23,0.0851132074398324,7.887749802669802e-23,0.6659289905565443,1.8293646440001539,0.019916338198231243,0.8877709910311316,3
Broadcom,82,0.016299367785768078,0.9765626129163157,0.13114322693298835,9.726620595399632e-11,0.13587566444001611,3.0929891939525477e-10,0.3814379608788082,1.9813854041836683,0.22709916161852317,0.6336831486084673,3
Cisco,82,-0.003903652528609365,0.6863049666653513,0.10611448057519955,7.328776483406551e-09,0.09435422356652397,2.1042053927696381e-10,0.3248663515141933,2.2365882843556593,2.5436135027863287,0.11074108609675097,3
Cloudflare,63,0.006229847332242255,1.3279160591511143,0.35028510725049544,0.0003463808043149851,0.37185074795795875,0.0007006648669983539,0.19149072083321672,1.990637501908568,0.10591599657572637,0.7448425020566387,3
Fortinet,82,0.013455100485150868,0.9715581969610416,0.17291998322737168,2.708065341123286e-07,0.13574314982422686,3.531888393103572e-10,0.27025762786997054,2.178524529195269,0.0533060299621686,0.8174072622208222,3
IBM,82,0.0002631232991728579,0.5823247307628467,0.1519226111979844,0.0002508859211583364,0.18053760662430146,0.0018222155815836012,0.21237185201244124,2.172917923640076,0.7324699728305637,0.39208374391791245,3
Infosys,82,0.00299943621049703,0.7349135335350603,0.12998950416283728,2.3408869296301158e-07,0.12264299457560639,5.6430022013163e-08,0.3000980910763298,1.9084614819010224,0.023494217742776824,0.8781788627220829,3
Intel,82,-0.0213233529768297,0.8570939567276191,0.15999546986279814,7.93169380320051e-07,0.1635994843133385,1.2792330568793113e-06,0.22838803678998298,2.0256358014349938,0.013632842547119939,0.9070504290765816,3
Meta Platforms,82,-0.0022999911267370136,1.1855332399809546,0.15892623474188375,9.172578750797492e-11,0.11430640111623014,1.8327107533720604e-16,0.37152633749695774,1.9314780081328162,0.015425150271763277,0.9011584832199038,3
Microsoft,82,0.006951075770036305,0.8629083379667117,0.05456558815305812,2.4326217584490287e-26,0.04759357539931316,4.585755948923104e-30,0.7235378467070694,2.129232715864756,3.4174213547341603,0.06451170803292539,3
Netflix,82,-0.0062803164271275835,1.4004515474905186,0.3279037882317081,5.3187834349435005e-05,0.33861079439413205,8.668249574880582e-05,0.4274080272826276,1.6342534607225845,12.581771199941114,0.00038952739903020577,3
Nvidia,82,0.011269239755580664,1.8831958683680972,0.18268933398619464,2.4319030193083174e-16,0.21082826431919927,1.1928871671178548e-13,0.6130849510434966,1.7219054585622289,0.14379172469235058,0.7045402477288338,3
Oracle,82,0.003652575342728786,0.8511898627593892,0.09371297828087644,6.035563370021924e-14,0.1036774278239324,3.134167644728423e-12,0.4063481302052697,2.452077602336108,0.2711810316862957,0.6025406244318603,3
Palantir,51,0.013980339944443448,2.1421551223781283,0.5657554281619007,0.0004178696428492805,0.5064862324464482,0.0001020638637571369,0.2600710443014126,2.4427091520512,3.3196755625091074,0.06845533698115835,3
SAP,82,-0.0016110578297078237,0.951913768278802,0.10813386829640335,2.1413736466851115e-13,0.09281993922555998,3.0777515523323997e-16,0.4305072980065222,2.0095187210844165,0.12816318941406069,0.7203441607688277,3
Salesforce,82,-0.0038932421977583716,1.1807228153284641,0.14240654809710682,2.1710766992849623e-12,0.13226958690724944,1.2242274924760827e-13,0.523768173203089,2.044645770219349,2.3428891426652148,0.12585593989367552,3
Samsung,82,-0.005567106701407821,0.655694617402543,0.11468300647623741,1.7944965634804518e-07,0.11221408419593068,1.0592785810996241e-07,0.26202243903390654,1.9030993616397442,1.3967296942750416,0.23727189468792936,3
ServiceNow,82,0.009597709448639047,0.941557511955358,0.11637978085775047,5.379066643983347e-12,0.1151778566498023,3.67391012369663e-12,0.4868886133269503,2.194354062119243,6.434213317945758,0.011194272450816684,3
Snowflake,51,-0.02105418835488357,0.9170127611051706,0.30300556669529427,0.0039369540827099755,0.3056287342183723,0.0042310456797873775,0.1758868156611042,2.0284595428008987,0.04032791214251652,0.8408408039201247,3
Sony,82,-0.002637435396780741,0.8548054371932077,0.11075313114397488,2.8778963279036315e-11,0.11579352719453256,1.297031034464421e-10,0.3870992761704597,2.1910792459724946,0.13786235877227382,0.7104154330220165,3
Spotify,80,-0.01132166547128844,1.5979049151598552,0.17286672642940643,3.638064650780324e-14,0.1538860204422807,2.321885050122266e-16,0.4956186297565113,1.8656145863089095,0.12814643017054372,0.7203616781249432,3
Taiwan Semiconductor,82,0.006524697744848424,1.0011601518337292,0.13085763084623517,3.8947230503247103e-11,0.11050367603877893,6.696553063679793e-14,0.39075987856401695,2.231842402553541,1.7561786298803663,0.18510187412680248,3
Tencent,82,-0.0046025385815076,0.3917514054095049,0.19964623708380871,0.05321312051895191,0.1643475336423633,0.019510082119330335,0.050512680013936384,2.064975959007503,0.00446432692184584,0.9467284891542849,3
Tesla,82,0.008329787568292595,1.8930049425525655,0.30922911777211143,3.252676004414489e-08,0.3425407493123537,3.9640535804328273e-07,0.34206818269006833,1.7483887889884293,0.0491363434413028,0.8245729727290017,3
Workday,82,-0.006937543527361402,1.1042141828370189,0.14595812556498614,5.7150737852510935e-11,0.14566409238129255,5.336858032430424e-11,0.38905902862729236,2.1684970426443977,0.010292878291215946,0.9191902119098012,3
