Company,beta_qqq,se_beta_hc1_qqq,se_beta_hac_qqq,p_beta_hc1_qqq,p_beta_hac_qqq,n_obs_qqq,beta_eqw,se_beta_hc1_eqw,se_beta_hac_eqw,p_beta_hc1_eqw,p_beta_hac_eqw,n_obs_eqw,beta_diff,abs_beta_diff
ASML,1.2708375924874,0.09628426885390373,0.11627157507505141,8.804255344891429e-22,1.5345790495741242e-17,82,1.1229001110598142,0.08128581933281322,0.09603991971897383,5.313926440726595e-23,4.513053468937135e-19,83,0.14793748142758578,0.14793748142758578
Accenture,0.9917497456933123,0.07008044676693612,0.06719025399888824,1.7402750206932715e-23,1.5056637080685414e-24,82,0.8753013831974695,0.06889916500799975,0.06677232538797669,5.657122452367339e-21,1.0144488371318752e-21,83,0.11644836249584278,0.11644836249584278
Adobe,1.1936816828297314,0.12067971575453658,0.114366560954264,1.5745705601869927e-15,1.3665874591092965e-16,82,1.0687672901529979,0.1122050269659201,0.10977850443288678,7.293278688574144e-15,2.8065207642069612e-15,83,0.12491439267673354,0.12491439267673354
Alphabet,0.9250841408722791,0.08222820914564352,0.07733649418665894,3.743474477315666e-18,1.687961525728961e-19,82,0.7750628760452515,0.0791445598876624,0.08083910286936673,2.1645698435187764e-15,5.489522662557045e-15,83,0.1500212648270276,0.1500212648270276
Amazon,1.2516913124394171,0.11354978586562735,0.10369595471426213,1.0161446714252801e-17,1.0550068651814064e-19,82,1.072074210526802,0.10981443257943056,0.1006831981310883,2.4841658166672428e-15,4.6028225866195594e-17,83,0.17961710191261515,0.17961710191261515
Apple,1.1729771616664877,0.08466350155026284,0.0851132074398324,5.84232816182757e-23,7.887749802669802e-23,82,0.9378054439774605,0.09170771199411287,0.09592545425975212,3.0610293576325645e-16,2.333630760315845e-15,83,0.23517171768902723,0.23517171768902723
Broadcom,0.9765626129163157,0.13114322693298835,0.13587566444001611,9.726620595399632e-11,3.0929891939525477e-10,82,0.90060660923814,0.11464882180535861,0.11489513446252789,1.446970745217675e-11,1.5615875444645904e-11,83,0.07595600367817579,0.07595600367817579
Cisco,0.6863049666653513,0.10611448057519955,0.09435422356652397,7.328776483406551e-09,2.1042053927696381e-10,82,0.629641327804077,0.09569557962174323,0.08700691561079976,4.313577590100051e-09,2.346590708857964e-10,83,0.056663638861274346,0.056663638861274346
Cloudflare,1.3279160591511143,0.35028510725049544,0.37185074795795875,0.0003463808043149851,0.0007006648669983539,63,1.5074364220657697,0.2802021585013974,0.30264156163476374,1.249799862406404e-06,5.50898331972305e-06,63,-0.17952036291465534,0.17952036291465534
Fortinet,0.9715581969610416,0.17291998322737168,0.13574314982422686,2.708065341123286e-07,3.531888393103572e-10,82,0.910983662296658,0.15591370068455584,0.12473516660168937,1.0299216359434429e-07,1.7409990079005423e-10,83,0.06057453466438367,0.06057453466438367
IBM,0.5823247307628467,0.1519226111979844,0.18053760662430146,0.0002508859211583364,0.0018222155815836012,82,0.5340758725094789,0.14139026296960275,0.16657532085282287,0.00030132142641484854,0.0019258003962841145,83,0.04824885825336789,0.04824885825336789
Infosys,0.7349135335350603,0.12998950416283728,0.12264299457560639,2.3408869296301158e-07,5.6430022013163e-08,82,0.6934973297078615,0.10742163384729365,0.1008535482234993,7.408748167119449e-09,1.1676094015068144e-09,83,0.041416203827198794,0.041416203827198794
Intel,0.8570939567276191,0.15999546986279814,0.1635994843133385,7.93169380320051e-07,1.2792330568793113e-06,82,0.7660304920262601,0.142832426075323,0.14220858116232124,7.561674282403844e-07,6.868260810905038e-07,83,0.09106346470135906,0.09106346470135906
Meta Platforms,1.1855332399809546,0.15892623474188375,0.11430640111623014,9.172578750797492e-11,1.8327107533720604e-16,82,1.014202517016397,0.14919480087981285,0.10221573038265724,1.6517706687141139e-09,1.2063939227304499e-15,83,0.17133072296455754,0.17133072296455754
Microsoft,0.8629083379667117,0.05456558815305812,0.04759357539931316,2.4326217584490287e-26,4.585755948923104e-30,82,0.7310214203308809,0.06162058106202273,0.05082496154834834,2.1345115284090577e-19,5.152510360356664e-24,83,0.13188691763583082,0.13188691763583082
