Company,beta_qqq,se_beta_hc1_qqq,se_beta_hac_qqq,p_beta_hc1_qqq,p_beta_hac_qqq,n_obs_x,beta_eqw,se_beta_hc1_eqw,se_beta_hac_eqw,p_beta_hc1_eqw,p_beta_hac_eqw,n_obs_y,beta_diff,abs_beta_diff
ASML,1.2708378996915122,0.09628412958172548,0.1162713349292769,8.803436000317397e-22,1.534408057519635e-17,82,1.1229001110598142,0.08128581933281322,0.09603991971897383,5.313926440726595e-23,4.513053468937135e-19,83,0.14793778863169793,0.14793778863169793
Accenture,0.9917494320400686,0.0700805671575874,0.06719023548872681,1.7404783713611566e-23,1.5056673162797464e-24,82,0.8753013831974695,0.06889916500799975,0.06677232538797669,5.657122452367339e-21,1.0144488371318752e-21,83,0.11644804884259907,0.11644804884259907
Adobe,1.1936821750944513,0.12067969819630561,0.1143665788719196,1.5745315204979512e-15,1.366571197516443e-16,82,1.0687672901529979,0.11220502696592008,0.10977850443288678,7.29327868857404e-15,2.8065207642069612e-15,83,0.12491488494145342,0.12491488494145342
Alphabet,0.9250841987282717,0.08222814574637714,0.07733645894928602,3.743320364590945e-18,1.6879163439462636e-19,82,0.7750628760452515,0.07914455988766239,0.08083910286936671,2.1645698435187693e-15,5.489522662557045e-15,83,0.15002132268302026,0.15002132268302026
Amazon,1.2516918269266593,0.11354969579694606,0.10369575810619326,1.0160851754411296e-17,1.0548803423497392e-19,82,1.072074210526802,0.10981443257943056,0.10068319813108831,2.4841658166672428e-15,4.6028225866196254e-17,83,0.1796176163998573,0.1796176163998573
Apple,1.1729771774998812,0.08466356345323174,0.08511328856789806,5.842566112230699e-23,7.888169153858237e-23,82,0.9378054439774605,0.09170771199411287,0.09592545425975212,3.0610293576325645e-16,2.333630760315845e-15,83,0.2351717335224207,0.2351717335224207
Broadcom,0.9765629650946097,0.1311432850577141,0.13587581698591794,9.726647351281449e-11,3.093064528493945e-10,82,0.90060660923814,0.11464882180535861,0.11489513446252789,1.446970745217675e-11,1.5615875444645904e-11,83,0.07595635585646976,0.07595635585646976
Cisco,0.6863042912300247,0.10611444612642709,0.09435421160513094,7.328912220342219e-09,2.1042638724363197e-10,82,0.629641327804077,0.09569557962174322,0.08700691561079976,4.31357759010002e-09,2.346590708857964e-10,83,0.05666296342594768,0.05666296342594768
Cloudflare,1.327916524799374,0.35028452669395804,0.3718500507121469,0.0003463722239505102,0.0007006473067770138,63,1.5074364220657697,0.28020215850139735,0.30264156163476374,1.249799862406404e-06,5.50898331972305e-06,63,-0.1795198972663956,0.1795198972663956
Fortinet,0.9715575370567224,0.1729199158721598,0.1357430911276704,2.708083620107374e-07,3.5319161176429103e-10,82,0.910983662296658,0.15591370068455584,0.12473516660168937,1.0299216359434429e-07,1.7409990079005423e-10,83,0.06057387476006448,0.06057387476006448
IBM,0.5823245888580495,0.15192266407780108,0.18053761691127404,0.0002508878741372689,0.0018222210370905756,82,0.5340758725094789,0.14139026296960272,0.16657532085282287,0.0003013214264148479,0.0019258003962841145,83,0.04824871634857064,0.04824871634857064
