Company,n,MeanReturn,SE,df,CI_t_low,CI_t_high,CI_boot_low,CI_boot_high,BootMean,BootBias,t_stat,p_t,p_boot,IncludesZero_t,IncludesZero_boot,p_t_fdr,signif_t_fdr,p_boot_fdr,signif_boot_fdr
Palantir,51,0.04107546198935404,0.03473730900812,50,-0.02869647654876524,0.11084740052747331,-0.024157591587596058,0.114877894382566,0.04107546198935404,0.0,1.1824595272982277,0.24261609526959563,0.206,True,True,0.40193653690826553,False,0.38875000000000004,False
Nvidia,83,0.037575663832948955,0.015420821263415,82,0.006898737927351257,0.06825258973854666,0.006371053062380879,0.0676316050351546,0.037575663832948955,0.0,2.4366837012821767,0.016987437771640104,0.018,False,False,0.10492502490681761,False,0.10333333333333333,False
Tesla,83,0.03460177027488029,0.020750484337747194,82,-0.0066775532877719965,0.07588109383753258,-0.003004697765988154,0.07565013964939017,0.03460177027488029,0.0,1.6675162715087197,0.09922671590068577,0.07266666666666667,True,True,0.2976801477020573,False,0.24222222222222226,False
Broadcom,83,0.02983198967545343,0.010139043694506274,82,0.009662201902353548,0.05000177744855331,0.009998436682118266,0.05004008957643727,0.02983198967545343,0.0,2.942288303937141,0.004234807545354694,0.0033333333333333335,False,False,0.06891085177261029,False,0.04,True
Fortinet,83,0.02813459827760754,0.011997487858840791,82,0.004267773040994835,0.05200142351422025,0.0036071852981331594,0.051443129154830194,0.02813459827760754,0.0,2.345040779255761,0.02144220964551848,0.020666666666666667,False,False,0.10721104822759239,False,0.10333333333333333,False
Cloudflare,63,0.02809643973954685,0.023159151330117624,62,-0.01819804412802396,0.07439092360711766,-0.017521544893992397,0.0719844725290906,0.02809643973954685,0.0,1.2131895223210734,0.22965930346901275,0.236,True,True,0.40193653690826553,False,0.40190476190476193,False
ServiceNow,83,0.023737212074905274,0.008669947583837259,82,0.0064899244569764265,0.04098449969283412,0.0071772965101589295,0.040631181412289726,0.023737212074905274,0.0,2.737872616341626,0.007582202397805904,0.004,False,False,0.07582202397805904,False,0.04,True
Apple,83,0.022370594027969568,0.009223490833913908,82,0.004022132550485554,0.040719055505453586,0.004127089870038492,0.04024391429601894,0.022370594027969568,0.0,2.4253934254170884,0.017487504151136268,0.020666666666666667,False,False,0.10492502490681761,False,0.10333333333333333,False
Taiwan Semiconductor,83,0.020066543920761053,0.010289872448957462,82,-0.00040329029251837123,0.04053637813404048,0.0005528512435147555,0.0405281995089091,0.020066543920761053,0.0,1.9501256230629112,0.054578217063585094,0.04466666666666667,True,False,0.23390664455822183,False,0.19142857142857142,False
Microsoft,83,0.01896430747921556,0.006507365189045998,82,0.006019085150581818,0.0319095298078493,0.006066834238626865,0.03150860775002016,0.01896430747921556,0.0,2.914283573809355,0.004594056784840686,0.002,False,False,0.06891085177261029,False,0.04,True
