Company,n,mean,sd,tstat,p_t,cohens_d,p_bonf,reject_bonf,p_fdr,reject_fdr
Broadcom,83,0.02983198967545343,0.09237108413484123,2.942288303937141,0.004234807545354694,0.3229580983579814,0.1270442263606408,False,0.06891085177261029,False
Microsoft,83,0.01896430747921556,0.05928491833003935,2.914283573809355,0.004594056784840686,0.31988417987929396,0.13782170354522058,False,0.06891085177261029,False
ServiceNow,83,0.023737212074905274,0.07898698159721194,2.737872616341626,0.007582202397805904,0.30052056167877594,0.22746607193417712,False,0.07582202397805904,False
Nvidia,83,0.037575663832948955,0.14049036785619842,2.4366837012821767,0.016987437771640104,0.2674607833001778,0.5096231331492032,False,0.10492502490681761,False
Apple,83,0.022370594027969568,0.08403000061021891,2.4253934254170884,0.017487504151136268,0.26622151452476694,0.524625124534088,False,0.10492502490681761,False
Fortinet,83,0.02813459827760754,0.10930231625455919,2.345040779255761,0.02144220964551848,0.2574016657806554,0.6432662893655544,False,0.10721104822759239,False
Taiwan Semiconductor,83,0.020066543920761053,0.09374519948409384,1.9501256230629112,0.054578217063585094,0.21405409590243427,1.0,False,0.23390664455822183,False
Oracle,83,0.01542490321041336,0.0780199937957739,1.8011736392987576,0.0753516234591308,0.19770449163056558,1.0,False,0.26231264470617005,False
Alphabet,83,0.014189527719354231,0.07260369480957538,1.7805257727676198,0.07869379341185101,0.1954380938404093,1.0,False,0.26231264470617005,False
Tesla,83,0.03460177027488029,0.18904590929411988,1.6675162715087197,0.09922671590068577,0.1830336895629222,1.0,False,0.2976801477020573,False
Infosys,83,0.013116203155875155,0.07838069299135739,1.5245373969242584,0.13122222696332989,0.16733971920000001,1.0,False,0.3578788008090815,False
ASML,83,0.015685087648432502,0.09676127823842477,1.4768092340821817,0.14355707510613736,0.16210087272497206,1.0,False,0.3588926877653434,False
Amazon,83,0.013437579072857087,0.08937002805695445,1.3698347675324183,0.17447785772169214,0.15035889956634543,1.0,False,0.38533298459850457,False
Accenture,83,0.01071534278210855,0.0721598334591538,1.3528498336879062,0.17982205947930213,0.1484945608719287,1.0,False,0.38533298459850457,False
Salesforce,83,0.013090338755783278,0.0952204369853862,1.252448166997648,0.2139668755618648,0.13747404622594095,1.0,False,0.40193653690826553,False
Cloudflare,63,0.02809643973954685,0.1838200649844059,1.2131895223210734,0.22965930346901275,0.15284751282146686,1.0,False,0.40193653690826553,False
Palantir,51,0.04107546198935404,0.2480740060816658,1.1824595272982277,0.24261609526959563,0.16557745262448828,1.0,False,0.40193653690826553,False
SAP,83,0.010896597571889582,0.08527827021927949,1.1641034481832369,0.24775795429272948,0.12777695354127983,1.0,False,0.40193653690826553,False
Sony,83,0.0100958248434554,0.0803149925388432,1.1452076225804515,0.2554546315535361,0.12570286722709587,1.0,False,0.40193653690826553,False
Meta Platforms,83,0.013921859860402409,0.11371672825152082,1.1153519935590919,0.267957691272177,0.12242578620103961,1.0,False,0.40193653690826553,False
Netflix,83,0.014498071568469889,0.12520215929654344,1.0549635788419816,0.29454044627167875,0.11579729654766545,1.0,False,0.42077206610239826,False
IBM,83,0.008016609851442407,0.07393696475785404,0.9877980766545017,0.3261573584982188,0.10842492490322081,1.0,False,0.44476003431575295,False
Adobe,83,0.009671732230081503,0.09503645550017623,0.9271565696940719,0.3565661966725723,0.10176865476704956,1.0,False,0.4650863434859638,False
Cisco,83,0.006750438409847265,0.07068418651206963,0.8700591150259142,0.3868079484135586,0.09550139490810435,1.0,False,0.4721630260194063,False
Spotify,80,0.012845753496591502,0.13416824458926258,0.8563569756321602,0.3943904784797607,0.09574362052598206,1.0,False,0.4721630260194063,False
Workday,83,0.009418913893162231,0.10344348189371821,0.8295388732128992,0.40920795588348546,0.09105372055089545,1.0,False,0.4721630260194063,False
Intel,83,-0.008583951574518148,0.1047608279582856,-0.7464958247311517,0.4575028920478924,-0.08193856178700845,1.0,False,0.5083365467198805,False
Snowflake,51,-0.00945532120501002,0.1291323576454226,-0.5229092141248932,0.6033470562336474,-0.07322193582938262,1.0,False,0.6464432745360508,False
Samsung,83,0.0030634185794924597,0.07507311661199768,0.3717585302582521,0.7110315726229416,0.040805799968651954,1.0,False,0.7355499027133878,False
Tencent,83,0.0001460551154443228,0.10202865342940522,0.013041683717510104,0.9896262153499931,0.0014315107622720905,1.0,False,0.9896262153499931,False
