Company,Ticker,MeanReturn,Volatility,Beta,AvgVolume,N_months
ASML,ASML,0.015685087648432513,0.09676127823842479,1.272729264208645,20838397.590361446,83
Accenture,ACN,0.01071534278210856,0.07215983345915385,0.989994840434207,47022900.0,83
Adobe,ADBE,0.00967173223008151,0.09503645550017625,1.1870088751915013,64039602.409638554,83
Alphabet,GOOGL,0.014189527719354241,0.0726036948095754,0.9307173102916088,708994878.313253,83
Amazon,AMZN,0.013437579072857099,0.08937002805695449,1.2456514846423867,1591051491.566265,83
Apple,AAPL,0.022370594027969575,0.08403000061021895,1.1656345003141684,2092424709.6385543,83
Broadcom,AVGO,0.029831989675453443,0.09237108413484126,0.9775210329754435,572082310.8433735,83
Cisco,CSCO,0.006750438409847272,0.07068418651206967,0.6778286243236861,444288350.60240966,83
Cloudflare,NET,0.028096439739546866,0.1838200649844059,1.3279142662598007,88309877.77777778,63
Fortinet,FTNT,0.028134598277607552,0.1093023162545592,0.9627818222201613,144752103.61445785,83
IBM,IBM,0.008016609851442414,0.07393696475785408,0.5854242915849833,103264967.28915663,83
Infosys,INFY,0.013116203155875165,0.0783806929913574,0.7361721822394502,204306028.91566265,83
Intel,INTC,-0.00858395157451814,0.10476082795828565,0.851035803875817,758620795.1807228,83
Meta Platforms,META,0.013921859860402406,0.11371672825152083,1.18834805309639,477599165.060241,83
Microsoft,MSFT,0.018964307479215573,0.059284918330039384,0.8633099264669446,597136773.4939759,83
Netflix,NFLX,0.014498071568469894,0.12520215929654344,1.3908522955459308,1517224698.7951808,83
Nvidia,NVDA,0.037575663832948955,0.14049036785619848,1.8833614205323637,9674826953.012049,83
Oracle,ORCL,0.015424903210413366,0.07801999379577394,0.852207994057371,243340824.09638554,83
Palantir,PLTR,0.041075461989354044,0.2480740060816658,2.142153341472598,1151001913.72549,51
SAP,SAP,0.010896597571889589,0.08527827021927951,0.9583139863977139,18683927.710843373,83
Salesforce,CRM,0.013090338755783283,0.09522043698538622,1.1769060509471956,137431087.95180723,83
Samsung,005930.KS,0.0030634185794924493,0.07507311661199773,0.6599827851240494,326814298.57831323,83
ServiceNow,NOW,0.023737212074905284,0.07898698159721199,0.9337450551545392,174100518.07228917,83
Snowflake,SNOW,-0.009455321205010032,0.12913235764542266,0.9170104903927737,115646862.74509804,51
Sony,SONY,0.010095824843455408,0.08031499253884324,0.8485414717387141,101051433.73493975,83
Spotify,SPOT,0.0128457534965915,0.13416824458926263,1.5979047879621715,38192011.25,80
Taiwan Semiconductor,TSM,0.02006654392076107,0.09374519948409386,1.0047950801215773,220203436.1445783,83
Tencent,0700.HK,0.00014605511544431345,0.10202865342940526,0.3975763182341604,494464799.09638554,83
Tesla,TSLA,0.0346017702748803,0.1890459092941199,1.8945416154220078,2687104761.445783,83
Workday,WDAY,0.009418913893162227,0.10344348189371826,1.0968568202553817,44075762.65060241,83
