Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2018-01-01,40581.17578125,44029.35584763277,38027.570732089174,41443.22079784569,348549350
2018-02-01,38271.5390625,41443.21357044199,36124.55939558542,41166.70861333935,316585400
2018-03-01,40028.16796875,42305.2681376346,36661.31271904206,38271.547838467595,264114800
2018-04-01,43417.8515625,43942.14260023585,38437.08670400943,40141.03257665094,262201650
2018-05-01,41533.66796875,44155.12235731016,40222.94077446992,43417.838310527615,321498280
2018-06-01,38215.90625,42434.81122722401,37601.50261254019,41369.844922293676,252348762
2018-07-01,38170.01953125,39284.17145270271,36849.543179898654,38376.343961148654,214539505
2018-08-01,39985.66796875,39985.66796875,35900.44492550309,38004.95376596362,194108773
2018-09-01,38335.0859375,39861.88699206136,36313.10616254037,39779.357205328306,197984482
2018-10-01,35255.921875,38914.55527712264,33592.90669221698,38623.52762013561,234645485
2018-11-01,34798.5859375,37625.71119885006,34715.435194519116,35297.490395385306,205923404
2018-12-01,32179.35546875,36087.442567021964,31680.45073280039,35546.962436409885,250506995
2019-01-01,38731.59375,39486.922772210186,30926.527187161428,32479.14795503792,301783852
2019-02-01,37850.390625,39906.56483855321,37137.02406111419,39151.2355356153,194923203
2019-03-01,37472.7265625,39444.97532894737,36171.88163143897,37850.39121990481,223260605
2019-04-01,38782.55859375,40262.80892175572,37048.55106665758,38232.75132906216,209113436
2019-05-01,35948.93359375,39036.31259650735,34553.26911305147,38782.55541819853,271585071
2019-06-01,39755.296875,39755.296875,35948.93866356383,36329.574484707446,194668243
2019-07-01,38659.09765625,40534.51143450248,37806.636847953414,40364.019272843165,183771791
2019-08-01,37508.26953125,38786.96053799716,36229.578524502846,38275.4841352983,205260271
2019-09-01,41813.1953125,42324.67170775994,36741.05439283894,38232.86054568043,207963296
2019-10-01,43275.390625,45078.531901041664,40656.54258122519,41987.43257068452,199451656
2019-11-01,43189.52734375,46194.76284480616,43103.66347229125,43447.11895812624,223956592
2019-12-01,47912.046875,49200.00512432795,42073.30281137993,43704.716593862,264807425
2020-01-01,48738.66015625,54269.288259086876,47183.17100232713,48220.16377160904,319891636
2020-02-01,46837.5078125,53577.96096632841,46837.5078125,47960.91667147141,360007160
2020-03-01,41263.671875,50121.318717277485,36553.99623691099,46923.9242473822,778330384
