Price,Close,High,Low,Open,Volume
Ticker,ACN,ACN,ACN,ACN,ACN
Date,,,,,
2018-01-01,142.80386352539062,144.49228078276028,135.76586502434722,136.4056843025798,42247000
2018-02-01,143.079345703125,147.14042066813252,132.22020752039958,142.3240128786651,43864100
2018-03-01,136.4056854248047,146.00296111773633,130.77173398466968,143.3192754319326,66273100
2018-04-01,134.36175537109375,138.36061721880193,129.78528556918675,134.91271889057728,42164300
2018-05-01,139.61749267578125,141.32975530905247,133.7007322332747,135.448861647916,37186500
2018-06-01,146.65481567382812,148.42087822268167,139.2230199373459,140.69324313911983,57789200
2018-07-01,142.83583068847656,151.45994402552134,141.7152332723671,145.13977186283043,42665600
2018-08-01,151.56753540039062,152.3295334595795,141.50007805147715,143.71437970901485,37640800
2018-09-01,152.5805206298828,157.45736210826436,150.16003327707065,151.28959039393877,40698200
2018-10-01,141.3028564453125,156.72228882088638,135.03648404815763,153.42324270361178,53970000
2018-11-01,148.8365478515625,150.12117962844567,140.45023981210136,142.84761358512444,47618200
2018-12-01,127.5677490234375,152.31956681726928,119.98660970834726,150.1483603002046,58259200
2019-01-01,138.912353515625,140.13365212675106,122.65540064923462,125.68604280649922,43567200
2019-02-01,145.99594116210938,147.0091691722925,139.01187368232692,139.5456267373915,34127700
2019-03-01,159.2402801513672,160.5701483511502,145.19977470704504,147.46145344079963,45264400
2019-04-01,165.25636291503906,165.40111368702313,157.91947553594184,158.76986906610645,35897100
2019-05-01,162.42918395996094,167.2454127337896,155.38727096578899,167.10857966996417,39072700
2019-06-01,168.540771484375,170.85766501747625,158.92654227759564,162.24682311944352,39715600
2019-07-01,175.66468811035156,180.1251731528015,168.23053709391536,168.59541134271737,34614000
2019-08-01,180.76368713378906,183.05321564937404,168.04810827096657,176.34881307699428,40805700
2019-09-01,175.4549102783203,184.98702994966482,170.83022791827662,179.11268622886965,43457400
2019-10-01,169.13360595703125,176.38531377971418,165.98663998702142,175.6829568618214,42679200
2019-11-01,184.2794189453125,184.7374608412921,169.91521781866092,171.0328411631175,30349000
2019-12-01,192.89976501464844,195.35486279409238,179.98297834291031,184.5359157710788,39647400
2020-01-01,187.98956298828125,194.1364774662583,186.13906979598835,193.16543087355225,46225400
2020-02-01,166.07516479492188,198.99776032648802,161.21035210001068,188.83589579900075,42168200
2020-03-01,150.13804626464844,176.47611865263013,126.12662514799013,167.371832289397,105690400
2020-04-01,170.30545043945312,173.0459305301468,136.3620694981074,145.8250238539896,59790800
2020-05-01,186.25149536132812,188.6163569075865,161.60518719528883,167.8591473673221,41873500
2020-06-01,198.3529815673828,201.28134680955299,179.9790962288902,186.177618974046,55507600
2020-07-01,207.6461181640625,208.5329482585038,197.23517123116105,198.14971344458306,36956200
2020-08-01,222.45333862304688,225.8003844810823,208.11019632849528,208.61085615845076,31526600
2020-09-01,209.5287322998047,229.76862122666992,195.0928554147939,221.11822338385522,48333500
2020-10-01,201.1101531982422,217.61359370458487,196.97501595999734,210.79896630829086,37834400
2020-11-01,231.85047912597656,233.54452375376843,203.21008087472146,204.00124385798003,35382000
2020-12-01,243.13165283203125,252.4116304547241,226.6939118957999,234.10299249115235,45455800
2021-01-01,225.1767120361328,248.08345419300156,224.99985966609924,242.9361866991572,38006100
2021-02-01,234.33323669433594,244.3360546444734,227.8608267561601,229.85018885463077,34428900
2021-03-01,258.0093688964844,262.72590885448915,228.29976746773693,237.22852379984448,58126700
2021-04-01,270.8234558105469,273.9148962139303,257.84127018119204,260.2228838083234,38033500
2021-05-01,264.3448181152344,275.90568445045267,259.3981910283092,274.43480517921057,39091400
2021-06-01,276.17730712890625,278.9972397560081,259.866551034291,267.54879532973973,42953300
2021-07-01,297.62200927734375,300.73239480186726,276.374007683959,276.82371127726014,38555900
2021-08-01,316.2001037597656,318.1636676523625,296.4141117776127,299.9560387028073,32643800
2021-09-01,300.566650390625,324.6179713114561,299.04462720310585,317.0361827527671,45872700
2021-10-01,337.0852355957031,337.8650126591394,296.89318558353654,303.80793331097146,35413000
2021-11-01,336.77618408203125,353.28520877016814,331.7820327247866,338.12365885774244,45477600
2021-12-01,390.62835693359375,393.2856355731734,336.719671321853,344.1920633147407,53205200
2022-01-01,333.1766357421875,391.55181939276895,300.686324272914,390.7320273873823,63805000
2022-02-01,298.5561218261719,340.20019311878167,284.09218392614184,334.6451285179298,48249200
2022-03-01,318.5940246582031,325.42446234375257,280.92729418823706,299.4819634268697,62911400
2022-04-01,283.761474609375,326.2180000576508,283.2324236679914,319.8788165353162,45062200
2022-05-01,282.8061218261719,299.312476381901,254.10481692312473,284.70122421793576,50760000
2022-06-01,263.0875244140625,295.9391296891038,254.97649032010725,288.17868483183497,51679000
2022-07-01,290.1969909667969,291.61831752779096,248.04042550417708,263.02120514369784,39731900
2022-08-01,274.30279541015625,307.0335247347218,273.32334747006234,287.6822672773168,36922600
2022-09-01,244.67208862304688,282.24300611042275,241.79081216899368,273.675194169276,50957600
2022-10-01,269.966552734375,274.0745397374738,231.0263281895621,247.49627764998962,46327800
2022-11-01,287.433349609375,287.47156377997874,244.53754959692156,274.18542068028984,39821400
2022-12-01,254.872314453125,291.4450293092465,242.1306123541297,288.8852333814694,50441000
2023-01-01,266.53466796875,275.05462109987815,249.64761839458757,257.12646124183937,45061600
2023-02-01,254.67764282226562,283.67955416864504,251.99229421061233,265.27524307019706,35007000
2023-03-01,274.1081237792969,274.25197649926776,232.85908071316086,254.15974661521923,69747200
2023-04-01,268.8141784667969,276.83188343580775,259.13729383439886,271.78726194659936,43364700
2023-05-01,294.5469055175781,307.0539703001918,251.95158438603204,268.7143409192374,61226700
2023-06-01,297.1080017089844,315.7386384859609,284.99569749402394,294.36397880373033,62201300
2023-07-01,304.589111328125,312.1376413464632,292.8137735503854,296.54953209757485,36727500
2023-08-01,312.8646240234375,315.24178644021725,291.1611400051398,304.8152117694126,35907900
2023-09-01,296.7657775878906,319.3099832244497,284.570854456947,315.06783489679304,43343500
2023-10-01,287.08331298828125,304.80557551403257,278.7439867793803,297.2103327842855,41307700
2023-11-01,323.25421142578125,325.83525087898715,289.32193169022827,289.32193169022827,37425400
2023-12-01,340.49688720703125,344.83424289816907,322.16742631972767,323.89460433476796,43708300
2024-01-01,353.0820617675781,364.5804253238146,325.05905547140884,337.8576516960927,43253800
2024-02-01,364.9864807128906,370.4596176095419,349.58962018728755,354.4881781637681,38239200
2024-03-01,337.5525817871094,377.38383137479633,321.07474168875206,365.9798086498172,58986800
2024-04-01,293.0468444824219,335.98471342269374,291.8489752396734,335.84835753420026,66721300
2024-05-01,275.97784423828125,306.3921927158061,272.4583363080713,293.4189281644465,65981000
2024-06-01,296.6256103515625,310.62541543879234,274.07145946409787,279.94708252672007,88723400
2024-07-01,323.2271728515625,328.7312881146668,284.0336081328501,296.93846171187374,65712200
2024-08-01,335.76995849609375,337.6552416048601,304.6232320356099,327.8458002051575,44490300
2024-09-01,347.0915832519531,357.4116161357669,325.87212419063167,335.1906022745938,50618700
2024-10-01,338.58807373046875,370.5203288316704,336.4278223542723,348.5742544922593,53139400
2024-11-01,357.26922607421875,366.7636777063434,336.7718605003428,342.056428061446,48885100
2024-12-01,346.838134765625,371.6045352890622,341.7408955876122,357.66355860667176,52321100
